what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570459672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570459722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570460233
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399570462433
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399570462434
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399570465572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399570467332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570470495
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570472826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570472879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570473963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570474005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570475429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570475478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570476291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570476340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570477068
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570477115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570477843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570477894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570478506
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399570480296
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1399570480296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570482916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399570484519
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1399571371926
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1399571371930
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1399571371935
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1399571371939
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1399571371943
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1399571371947
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1399571371953
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1399571371960
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1399571371963
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1399571371970
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1399571371975
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1399571371978
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1399571371985
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1399571371987
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1399571371990
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1399571371994
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1399571371997
